Name,Address,City,Rating,Review Count,Coordinates,Price
Giorgio Arcelli Fontana,"['New York, NY 10024']",New York,5.0,1,"{'latitude': 40.7867431640625, 'longitude': -73.97494506835938}",
Mint Wedding Cinematography,"['1404 Pacific St', 'Brooklyn, NY 11216']",Brooklyn,5.0,13,"{'latitude': 40.67707, 'longitude': -73.943771}",
Guggenheim Productions,"['250 W 54th St', 'Ste 405', 'New York, NY 10019']",New York,5.0,1,"{'latitude': 40.7644043, 'longitude': -73.9837112}",
Manhattan Neighborhood Network,"['537 W 59th St', 'New York, NY 10019']",New York,4.5,13,"{'latitude': 40.7713203430176, 'longitude': -73.9891662597656}",
Hot Indie Media,"['269 12th St', 'Brooklyn, NY 11215']",Brooklyn,5.0,1,"{'latitude': 40.667861, 'longitude': -73.988286}",
Windmill Studios,"['300 Kingsland Ave', 'Brooklyn, NY 11222']",Brooklyn,5.0,1,"{'latitude': 40.72689, 'longitude': -73.94155}",
Herculean,"['Brooklyn, NY 11201']",Brooklyn,5.0,2,"{'latitude': 40.6989049533054, 'longitude': -73.9901041883911}",
Bright Glare Pictures,"['Brooklyn, NY 11221']",Brooklyn,5.0,17,"{'latitude': 40.69235, 'longitude': -73.9261}",
DCTV,"['87 Lafayette St', 'New York, NY 10013']",New York,3.0,5,"{'latitude': 40.717311, 'longitude': -74.001144}",
New York Video Service,"['New York, NY 10034']",New York,5.0,4,"{'latitude': 40.8708152770996, 'longitude': -73.9230728149414}",
Classic Conversions,"['33 Yahara Ave', 'Rutherford, NJ 07070']",Rutherford,5.0,4,"{'latitude': 40.841141, 'longitude': -74.116282}",
FOU Studios,"['3702 Astoria Blvd', 'Ste 303', 'Astoria, NY 11103']",Astoria,5.0,4,"{'latitude': 40.7690407153992, 'longitude': -73.9128690859833}",
Shooting Stars Pro,"['374 S 2nd St', 'Ste 7', 'Brooklyn, NY 11211']",Brooklyn,5.0,15,"{'latitude': 40.7098016203158, 'longitude': -73.9527393650513}",
Long Island Models & Talent,"['780 Long Beach Blvd', 'Long Beach, NY 11561']",Long Beach,5.0,8,"{'latitude': 40.5934073, 'longitude': -73.6563343}",
J'adore Love Photo and Cinema,"['342 52nd St', 'New York, NY 11220']",New York,5.0,62,"{'latitude': 40.645809, 'longitude': -74.014968}",
ILovePhotos2,"['New Rochelle, NY 10804']",New Rochelle,4.0,1,"{'latitude': 40.9492193, 'longitude': -73.7889689}",
Butter Tree Studios,"['32 Merry Ln', 'East Hanover, NJ 07936']",East Hanover,5.0,1,"{'latitude': 40.819519, 'longitude': -74.3461838}",
New York Wedding Films,"['447 Broadway', 'Fl 2', 'New York, NY 10013']",New York,5.0,4,"{'latitude': 40.7206058, 'longitude': -74.0014893}",
Vitruvian Sound NYC,"['1001 Irving Ave', 'Ste 114', 'Brooklyn, NY 11237']",Brooklyn,5.0,2,"{'latitude': 40.694671, 'longitude': -73.905351}",
Clean & Humble,"['277 78th St', 'Bay Ridge, NY 11209']",Bay Ridge,5.0,2,"{'latitude': 40.6474744, 'longitude': -74.0194954}",
SineMax Films,"['New York, NY 10001']",New York,5.0,5,"{'latitude': 40.7492790222168, 'longitude': -73.9925918579102}",
360 Sound & Vision,"['330 7th Ave', 'New York, NY 10001']",New York,1.0,1,"{'latitude': 40.7477397, 'longitude': -73.9933739}",
Smitten Chickens,"['2134 2nd Ave', 'Manhattan, NY 10029']",Manhattan,5.0,14,"{'latitude': 40.7930517, 'longitude': -73.9406454}",
MarkaWedding,"['9913 3rd Ave', 'Brooklyn, NY 11209']",Brooklyn,5.0,1,"{'latitude': 40.61388, 'longitude': -74.03502}",
Schnitzel Studios,"['Ridgewood, NY 11385']",Ridgewood,5.0,1,"{'latitude': 40.700740814209, 'longitude': -73.8950881958008}",
DuArt,"['245 W 55th St', 'New York, NY 10019']",New York,4.0,2,"{'latitude': 40.765316, 'longitude': -73.982986}",
Showreels NYC,"['1412 Broadway St', 'New York, NY 10024']",New York,5.0,13,"{'latitude': 40.75373, 'longitude': -73.98685}",
Johan Ospina Photography™,"['1332 3rd Ave', 'New York, NY 10075']",New York,5.0,2,"{'latitude': 40.77257, 'longitude': -73.95877}",
Creative Capsule Films,"['641 Lexington Ave', 'Fl 15', 'New York, NY 10022']",New York,5.0,1,"{'latitude': 40.7589, 'longitude': -73.96976}",
Dvideo Digital Video Production Studio,"['2900 Westchester Ave', 'Ste 205', 'Purchase, NY 10577']",Purchase,5.0,1,"{'latitude': 41.0104596, 'longitude': -73.6980187}",
Adiuvo Productions,"['95 Horatio St', 'New York, NY 10014']",New York,1.0,2,"{'latitude': 40.7984185256138, 'longitude': -73.961374341663}",
Production Central,"['873 Broadway', 'Ste 205', 'New York, NY 10003']",New York,4.5,5,"{'latitude': 40.738155, 'longitude': -73.990417}",
