Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
Chicken Insider,"['1752 2nd Ave', 'New York, NY 10128']",New York,5.0,101,"{'latitude': 40.781226, 'longitude': -73.949085}",,pT5g_H68K25hMXUjQRwN4A,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'korean', 'title': 'Korean'}]",40.781226,-73.949085
Tada Noodles,"['2323 Borden Ave', 'Long Island City, NY 11101']",Long Island City,4.5,22,"{'latitude': 40.740157, 'longitude': -73.946535}",,br6HJD_UZ_LSU36tBZGSuw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",40.740157,-73.946535
Hae Woon Dae,"['7532 Broadway', 'Elmhurst, NY 11373']",Elmhurst,3.5,169,"{'latitude': 40.745693, 'longitude': -73.889588}",2.0,yEpkPwO6uLfmzp1BMJBUFg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.745693,-73.889588
MONOMONO,"['116 E 4th St', 'New York, NY 10003']",New York,4.0,486,"{'latitude': 40.72549, 'longitude': -73.98803}",2.0,c_Kellz-oODKoNpcRbV24w,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",40.72549,-73.98803
Koko Wings,"['248 W 106th St', 'New York, NY 10025']",New York,3.5,333,"{'latitude': 40.80096, 'longitude': -73.96734}",2.0,z28cRtpdfiJfzIp1vkMAwQ,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",40.80096,-73.96734
Mill Korean,"['2895 Broadway', 'New York, NY 10025']",New York,3.0,315,"{'latitude': 40.8060225608803, 'longitude': -73.9656521669528}",2.0,DgHEzcSBotbfxW-IJPAMuQ,"[{'alias': 'korean', 'title': 'Korean'}]",40.8060225608803,-73.9656521669528
Jiku Wicked Wings & Korean Grub,"['1219 Church Ave', 'Brooklyn, NY 11218']",Brooklyn,4.5,79,"{'latitude': 40.647755, 'longitude': -73.967833}",2.0,GdjbCv2nD_V_MCjk0HAgnw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",40.647755,-73.967833
Bulbap Grill,"['646 Manhattan Ave', 'Brooklyn, NY 11222']",Brooklyn,4.5,154,"{'latitude': 40.7243, 'longitude': -73.9509099}",2.0,IIM-dzbOvg4x7h-AjHsq9Q,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",40.7243,-73.9509099
East Hae,"['98 N 6th St', 'Fl 3', 'Urban Outfitters Space 98', 'Brooklyn, NY 11249']",Brooklyn,3.5,24,"{'latitude': 40.71847, 'longitude': -73.96054}",2.0,jvBtgqUpW0v4wO5QQ-HALQ,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",40.71847,-73.96054
Bangia,"['11 E 32nd St', 'New York, NY 10016']",New York,4.0,403,"{'latitude': 40.746854, 'longitude': -73.9845201}",2.0,pcb8yK9_28uWz5CyokjwSg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.746854,-73.9845201
